description,test_r2_score,test_mean_squared_error,fit_time,score_time,train_test_score
SVR,0.6022664931599293,15.648598133787171,0.16313629150390624,0.0787773609161377,0.5730749695586365
KNN,0.8426919595232933,6.18919519300983,0.003619527816772461,0.013805484771728516,0.8847580427778722
DT,0.8697578537610149,5.12430301074771,0.2069681167602539,0.002318000793457031,0.8598494430629181
bagging,0.9067948457121732,3.66710367209346,1.211542558670044,0.004545450210571289,0.9146524181534683
RF,0.9166064332108694,3.281072354185599,12.137386798858643,0.014834117889404298,0.9279095987505308
Adaboost,0.8403154791205347,6.282696459953742,1.4067951679229735,0.007962417602539063,0.8439605544855201
GradientBoostingRegressor,0.910342717410254,3.5275146822831833,4.533014106750488,0.0029071807861328126,0.9182796527201171
