description,test_r2_score,test_mean_squared_error,fit_time,score_time,train_test_score
SVR,0.6242030372825913,14.785517308269347,1.1972968578338623,0.4696849822998047,0.7043354037357101
KNN,0.866364622098942,5.257807776480137,0.02011904716491699,0.05634241104125977,0.8591551307370866
DT,0.8284773849419739,6.748459528149837,2.266526222229004,0.009902715682983398,0.8036411561750837
bagging,0.8943875972446429,4.1552597913929565,13.928983783721923,0.016690826416015624,0.8824452192043599
RF,0.9076300188624924,3.6342442605107963,139.20875329971312,0.023060989379882813,0.8966358412627287
Adaboost,0.8293817090375725,6.712879412038539,15.765119075775146,0.02595229148864746,0.8211731846778388
GradientBoostingRegressor,0.8936112740530395,4.1858037848921645,58.002451276779176,0.011133241653442382,0.8875356289345054
