description,test_r2_score,test_mean_squared_error,fit_time,score_time,train_test_score
SVR,0.634331661868223,14.387012346874982,1.161060380935669,0.46316981315612793,0.7138865509756193
KNN,0.8609510034871931,5.470803515204545,0.02011141777038574,0.05611972808837891,0.8570913866341403
DT,0.7858225923229502,8.42668803215046,2.3321136474609374,0.009772253036499024,0.7554233089490008
bagging,0.8804341555554062,4.70425000172969,14.66297550201416,0.016437721252441407,0.8672908983880594
RF,0.8930173208291396,4.209172535955961,150.66417708396912,0.02353038787841797,0.8835281381861458
Adaboost,0.8365442092178559,6.431074924795521,15.684649419784545,0.025084877014160158,0.8170967774213919
GradientBoostingRegressor,0.889577699412188,4.344502480153711,57.31679539680481,0.011040306091308594,0.8792543807319314
