description,test_r2_score,test_mean_squared_error,fit_time,score_time,train_test_score
SVR,-0.25619470617080675,1.2429809579110624e+16,0.017675161361694336,0.010440731048583984,-0.12705681692094029
KNN,0.4954835269453651,4992095300822677.0,0.00444951057434082,0.008764219284057618,-0.11685516262877153
DT,0.3466171007452069,6465100497629399.0,0.09057412147521973,0.0037694454193115236,-7.943147542194993
bagging,-7.580410818727742,8.490154596529941e+16,0.49428977966308596,0.005454158782958985,-3.1621874182062384
RF,-1.1182257668702094,2.0959444263238492e+16,4.769293117523193,0.011263465881347657,-2.018607541851316
Adaboost,0.1662108305637644,8250186499200248.0,0.13531408309936524,0.005603981018066406,-4.544677624293387
GradientBoostingRegressor,-6.054337326264248,6.980133672076981e+16,1.8019362449645997,0.004122543334960938,-2.9317271824936992
