description,test_r2_score,test_mean_squared_error,fit_time,score_time,train_test_score
SVR,-0.25619455532044255,1.2429808086474736e+16,0.011082077026367187,0.006158065795898437,-0.12705674290234348
KNN,-0.21389416384086024,1.201125369468322e+16,0.0025531291961669923,0.006642723083496093,-0.6035591166762707
DT,0.6743451625127219,3222293167292407.5,0.06849913597106934,0.002200412750244141,-12.44461981446511
bagging,-1.2057973097512074,2.1825948155678652e+16,0.40833773612976076,0.0038489818572998045,-3.656412922928557
RF,-0.4379555571856799,1.4228298902424788e+16,3.968260622024536,0.009678506851196289,-2.240612354922964
Adaboost,0.03308578843606613,9567433670940338.0,0.15729069709777832,0.004332447052001953,-0.717055371424469
GradientBoostingRegressor,0.5215345869276646,4734324978018958.0,1.6431463241577149,0.0025467872619628906,-9.55038893452178
