description,test_r2_score,test_mean_squared_error,fit_time,score_time,train_test_score
SVR,-0.2561947032846057,1.242980955055221e+16,0.05514183044433594,0.03340106010437012,-0.12705681895250182
KNN,0.4791837750030503,5153378270599946.0,0.01419224739074707,0.018735504150390624,-1.9948644788466006
DT,0.5356968062397955,4594192490274296.0,0.046546554565429686,0.011120128631591796,-3.3630046684120787
bagging,0.5438584132640478,4513434928828886.0,0.2533860683441162,0.013905000686645509,-1.4978417529291064
RF,0.5901766932667368,4055124288259231.0,2.328930139541626,0.018656539916992187,-0.9634325180713936
Adaboost,-0.7385767948830122,1.7202889323526526e+16,0.14180574417114258,0.012234830856323242,-2.330230399965036
GradientBoostingRegressor,0.6621676918091941,3342786942068327.0,0.905565881729126,0.011665964126586914,-2.2861768254221166
