description,test_r2_score,test_mean_squared_error,fit_time,score_time,train_test_score
SVR,-0.256194695638859,1.242980947489899e+16,0.01758608818054199,0.010236454010009766,-0.12705680515598533
KNN,0.6172954840700939,3786788970457285.0,0.004357099533081055,0.008706808090209961,-0.18229675471555606
DT,0.34831891467882137,6448261369881134.0,0.13474531173706056,0.003637075424194336,-1.9021356377150684
bagging,-0.7712623790812987,1.752630701154172e+16,0.7476795196533204,0.00564870834350586,-1.7793115127554624
RF,0.2938443037413577,6987277365986392.0,7.423520946502686,0.01116628646850586,-1.2310490801579121
Adaboost,0.14961067158899855,8414441939878127.0,0.2427143096923828,0.00574336051940918,-0.664315900477576
GradientBoostingRegressor,0.5190230612774904,4759176050413521.0,3.045655679702759,0.004268217086791992,-1.502380325622131
