description,test_r2_score,test_mean_squared_error,fit_time,score_time,train_test_score,task,strategy
SVR,0.7523795979731216,9.7424835836211,0.3977278709411621,0.2040614604949951,0.7727662516824235,explore_proximate_dg,fft_4_pca_data
KNN,0.8623094316800156,5.41735693220988,0.0119544506072998,0.0378486633300781,0.8457344819636481,explore_proximate_dg,fft_4_pca_data
DT,0.8267945084913221,6.814671342925739,1.2462144374847413,0.0066277980804443,0.7857199072108995,explore_proximate_dg,fft_4_pca_data
bagging,0.893546898673694,4.188336597501018,8.487623834609986,0.0107304573059082,0.882485268577953,explore_proximate_dg,fft_4_pca_data
RF,0.9049800804888812,3.7385045754573487,83.60126166343689,0.0191303253173828,0.9008180575429608,explore_proximate_dg,fft_4_pca_data
Adaboost,0.832423268479473,6.593210989369123,10.64159150123596,0.0175825595855712,0.8175727115642818,explore_proximate_dg,fft_4_pca_data
GradientBoostingRegressor,0.902109562574504,3.851443466713462,34.82760887145996,0.0076154232025146,0.8920555693214108,explore_proximate_dg,fft_4_pca_data
SVR,0.7836206434332078,8.513322456191007,0.1055561065673828,0.0410804748535156,0.7276462878496228,explore_proximate_dg,one_hot_nlp_pca_data
KNN,0.8902022512778175,4.319929842971119,0.0014769077301025,0.0078127861022949,0.8956101619212271,explore_proximate_dg,one_hot_nlp_pca_data
DT,0.8393374106286071,6.321178007307128,0.066049575805664,0.0011083602905273,0.8358810985686185,explore_proximate_dg,one_hot_nlp_pca_data
bagging,0.8873776187430618,4.431063400118937,0.4140858650207519,0.0025593757629394,0.8925022899154496,explore_proximate_dg,one_hot_nlp_pca_data
RF,0.899963399963994,3.935883011393659,4.057090997695923,0.0134710788726806,0.9077704574782672,explore_proximate_dg,one_hot_nlp_pca_data
Adaboost,0.8267133913521593,6.817862850532442,0.3852582454681396,0.0050819873809814,0.8092808330642649,explore_proximate_dg,one_hot_nlp_pca_data
GradientBoostingRegressor,0.8990041408785853,3.973624513368197,1.3431775569915771,0.0016790390014648,0.8960864811438913,explore_proximate_dg,one_hot_nlp_pca_data
SVR,0.7507896359140418,9.805039734618235,0.3979054450988769,0.200246000289917,0.714544562309162,explore_proximate_dg,glove_pca_data
KNN,0.8864937441773136,4.465838941133714,0.0118899822235107,0.0374904155731201,0.9021186271978476,explore_proximate_dg,glove_pca_data
DT,0.8372553548432644,6.40309530548954,1.2368677616119386,0.0065056324005126,0.775137673378677,explore_proximate_dg,glove_pca_data
bagging,0.8901145325224262,4.323381087405663,7.366263484954834,0.0109759807586669,0.8878244288454745,explore_proximate_dg,glove_pca_data
RF,0.905762593733424,3.7077170378533286,73.47384295463561,0.0186662197113037,0.8935379287168124,explore_proximate_dg,glove_pca_data
Adaboost,0.8392132920774125,6.326061380961067,9.153276109695437,0.0175277709960937,0.8310131431861544,explore_proximate_dg,glove_pca_data
GradientBoostingRegressor,0.905286421269449,3.7264517720483954,24.44194016456604,0.0075934886932373,0.9012581953487472,explore_proximate_dg,glove_pca_data
SVR,0.7683966653641343,9.112301196235444,1.737102746963501,0.6658068656921386,0.7853743653548718,explore_proximate_dg,property_4_normal_data
KNN,0.8824455371577444,4.625113338996013,0.0269577026367187,0.0680376529693603,0.8862318669708291,explore_proximate_dg,property_4_normal_data
DT,0.8861907435237443,4.477760329149655,0.1703174591064453,0.0117651939392089,0.8898112349553424,explore_proximate_dg,property_4_normal_data
bagging,0.9045718668167396,3.754565509721637,1.0514729976654054,0.0209186077117919,0.9140730778946364,explore_proximate_dg,property_4_normal_data
RF,0.9137609956955872,3.393024471434193,10.176678991317749,0.0257637977600097,0.9167341341859018,explore_proximate_dg,property_4_normal_data
