Predictions,Real values
-13.3701,-12.91
-19.507015,-21.19
-15.783068,-15.1
-12.494822,-13.11
-9.943293,-9.93
-10.304326,-9.79
-8.21717,-8.3
-10.308622,-10.22
-8.451658,-9.7
-13.305349,-13.26
-13.00115,-13.67
6.172722,6.970733456
-6.5511107,-5.4
-9.748408,-10.39
-13.855928,-14.07
-13.827328,-14.79
-7.5656466,-7.1000000000000005
-12.058719,-12.54
-20.500895,-20.45
-8.279966,-8.39
-11.568766,-10.07
-11.588447,-11.89
-5.573134,-5.17
-14.035195,-13.58
-11.043938,-11.38
-14.237525,-14.18
-8.432068,-7.42
-12.254924,-11.07
-20.342537,-19.79
-13.685592,-15.64
-15.607735,-12.98
-9.92069,-5.500000000000001
7.2474523,5.719717574
-11.03944,-11.15
-13.478535,-13.51
6.3141,6.599909961
-12.179608,-13.35
-9.345591,-8.7
-8.450598,-8.989999999999998
-11.71928,-11.52
-18.540138,-18.39
-14.42142,-16.54
11.288388,11.14651269
-13.341086,-10.6
-15.435958,-15.18
-9.927157,-12.3
-12.304394,-13.57
-6.1682324,-6.74
-10.79041,-11.32
-10.005756,-9.34
-11.673908,-11.2
6.3141,7.503780633
-9.976409,-8.77
-13.317868,-16.43
-11.047118,-11.6
-18.540138,-18.39
-12.762948,-14.68
-20.498287,-20.74
12.552023,13.07227065
-20.501236,-20.14
-10.8421955,-10.81
-13.561073,-13.31
-15.938615,-16.14
-11.736298,-11.83
-20.346432,-20.17
-14.743575,-14.260000000000002
-8.004417,-8.19
-6.5511107,-4.94
-11.263971,-9.91
6.172722,7.768377454
-12.741622,-12.68
-12.960334,-12.46
-8.753016,-7.979999999999999
-14.888904,-14.5
-10.8082485,-11.53
-13.400626,-13.37
-13.317868,-16.15
-10.963032,-9.34
-14.780341,-14.32
-14.637702,-13.6
-12.188552,-12.29
-10.897751,-10.83
-15.260213,-15.31
-10.685278,-10.67
-12.762949,-12.02
-20.486109,-20.450000000000003
-13.358889,-12.54
-5.6715426,-5.25
-9.928368,-8.63
-14.613945,-14.26
-12.39132,-12.54
-12.119234,-11.12
-8.44992,-8.27
-7.9227977,-7.36
-12.552944,-12.62
-20.49929,-20.82
-14.112957,-13.89
-12.081279,-12.14
-9.876253,-10.4
12.552023,12.69198753
-11.984979,-12.03
-20.50053,-21.04
-12.765977,-9.409999999999998
-12.364837,-12.78
-8.279966,-7.79
-11.970441,-11.27
-8.3933115,-9.57
-11.048006,-9.44
-6.3621516,-6.44
-12.264485,-12.03
-10.34514,-10.04
-10.31113,-10.19
-10.701459,-10.13
-14.5777445,-14.71
-14.108968,-13.739999999999998
6.7714734,9.976364696
5.8806834,4.907830705
6.690366,4.9197364
-8.215197,-8.07
-11.406727,-11.989999999999998
-13.273123,-13.81
-13.716091,-13.31
-19.33863,-19.26
-11.989791,-11.53
-9.289683,-8.91
-7.877256,-8.33
-10.725782,-11.13
-11.138682,-11.54
-11.003988,-10.91
-11.034262,-10.19
12.552023,12.71394818
-15.975987,-13.47
-11.674621,-11.84
-10.109106,-6.83
-11.493289,-10.67
-14.833356,-14.04
-15.116596,-14.24
-12.690562,-11.47
-13.313953,-12.87
10.948571,11.19962819
-13.811275,-14.2
-12.960261,-12.96
-13.06099,-13.45
4.819286,4.255414621
-12.101025,-11.68
-12.323321,-12.35
6.702225,6.502793105
-9.253408,-7.5
-10.986991,-9.9
-12.706003,-12.4
-8.644445,-10.11
-10.967921,-12.93
9.0729885,11.486017466
-12.484807,-13.85
-11.1274185,-9.06
-11.534552,-11.0
6.3141,6.493208709
-14.667075,-14.79
-15.975987,-17.37
-12.707687,-13.28
-9.1072235,-8.97
7.4942236,7.322282684
-12.76295,-13.65
-10.266139,-8.07
-13.139574,-13.03
-6.5511107,-6.8500000000000005
-9.7169485,-9.03
-12.033816,-12.04
7.053739,7.426229123999999
-11.296618,-11.68
-10.061487,-10.41
-10.710739,-11.69
-12.6462145,-11.69
-11.95383,-11.19
5.627685,5.762327056999999
-12.46307,-12.3
-15.975987,-18.93
-7.354462,-7.19
-12.1531,-13.48
-9.383909,-9.21
-12.955125,-12.96
-10.422096,-10.64
-12.469581,-13.1
-15.607735,-9.79
-14.627312,-15.93
10.948571,11.62725132
-7.533634,-7.16
-6.5511107,-5.300000000000001
-12.791696,-13.14
-9.064973,-10.01
-14.811888,-14.59
-13.337501,-13.17
-12.883345,-10.75
-12.3637085,-12.42
-14.748085,-12.45
-11.983933,-11.31
-11.776391,-11.25
-7.9648175,-8.04
12.552023,12.42280263
-12.085025,-12.94
-20.501152,-20.65
-6.5511107,-7.29
-12.762943,-12.67
-14.435473,-13.72
-12.089551,-12.77
-15.753011,-14.52
-10.20134,-14.71
5.1145606,5.708688787
-8.784796,-7.62
-17.287107,-17.3
-9.332503,-8.059999999999999
-18.810223,-17.740000000000002
-14.672483,-14.7
11.288384,12.09173555
-9.25804,-8.73
11.288388,10.06339958
-20.50103,-20.56
-14.561582,-14.35
7.4991727,8.033886483
-8.161153,-4.78
-13.519812,-13.400000000000002
-10.313509,-10.21
-8.491611,-9.31
5.960961,5.024384138
-8.279966,-8.51
-12.5293255,-12.3
-10.783563,-12.13
-12.76295,-13.86
-12.192014,-12.04
-12.03687,-11.23
-11.650537,-12.45
-15.281384,-15.03
-10.173421,-9.75
-8.641034,-8.58
-12.9603405,-13.05
-10.2845,-10.44
-14.690848,-14.78
-8.55888,-9.25
6.172722,8.111571546
-12.638023,-10.75
-16.105122,-16.56
11.288388,12.44823212
1.771035,-0.2667055390000001
-19.008718,-18.63
10.948571,6.458671741
-6.2663345,-6.92
-12.762945,-13.56
-7.094127,-6.72
-16.052618,-15.6
-10.413106,-10.25
-11.267397,-11.11
-11.783057,-7.899999999999999
-12.355238,-12.61
6.172722,5.066344072
-8.957392,-10.36
-12.003847,-11.51
-7.211983,-6.940000000000001
-14.377824,-14.53
-12.009002,-12.33
-11.9876585,-12.05
-11.920447,-12.54
-12.762947,-12.04
-10.725782,-13.58
-7.0670776,-5.779999999999999
-11.984209,-10.24
-8.252465,-8.74
-12.960067,-12.92
-13.391741,-12.22
12.552023,12.40399027
-11.148351,-11.78
-14.855478,-17.0
-12.907169,-12.33
-12.094204,-11.78
-10.535286,-10.71
-12.429478,-12.91
6.757789,5.220585219
-12.087653,-11.62
-12.829612,-12.84
-15.2760105,-14.420000000000002
-7.6280856,-8.51
-15.087099,-15.23
-8.490796,-6.779999999999999
-9.503592,-8.72
-12.068685,-12.66
-13.327886,-12.1
-10.685278,-10.75
-9.051597,-10.7
-12.9762535,-13.76
-11.71928,-11.75
-15.395849,-15.6
-13.25416,-12.79
-5.6167436,-5.34
-13.928974,-13.69
-12.960115,-12.53
-14.005429,-15.22
-12.687605,-12.87
-8.52108,-7.33
-15.363396,-14.73
-14.131273,-14.13
-14.786638,-14.19
-15.793659,-16.380000000000003
-14.402018,-14.59
-11.592313,-11.37
-13.072973,-13.85
-10.34514,-9.66
-16.455076,-16.74
-11.355232,-11.52
-10.670497,-9.66
-8.442913,-8.629999999999999
-12.556,-13.69
-9.064976,-10.03
-11.047868,-10.92
-11.312396,-11.0
-12.481709,-12.47
12.552023,12.31829838
-6.551109,-7.28
-6.5817294,-6.41
-10.555814,-7.709999999999999
-12.048706,-7.359999999999999
10.948571,11.21913666
-18.148054,-17.84
-12.392843,-12.12
-11.397439,-11.14
-13.661987,-16.57
-8.540123,-10.15
-5.88615,-4.220000000000001
6.757789,9.934099038
-11.735924,-11.91
-13.340614,-10.96
-14.953464,-13.47
12.552023,13.08444746
-10.31113,-11.02
-9.33983,-7.739999999999999
-13.030463,-12.72
-12.835042,-16.08
7.495196,7.681752639999999
-11.918014,-11.760000000000002
-12.215202,-12.02
-14.572573,-14.29
-14.833495,-14.95
-10.42794,-11.49
-13.546033,-13.83
-15.954907,-16.01
7.4942236,7.146232266
-12.630268,-12.38
-10.977821,-11.11
6.172722,5.485558589
-12.569259,-12.66
-12.72102,-12.7
-11.764956,-12.6
-13.449592,-12.45
-12.127506,-9.93
-9.154016,-7.62
-10.783563,-12.12
-12.426991,-12.3
7.2474523,12.02274259
-15.690671,-15.4
-12.320887,-12.29
-8.226768,-7.77
-15.178711,-14.46
-7.7295675,-5.72
-14.706295,-14.4
-7.9213595,-9.23
-8.519542,-10.63
-11.85062,-10.57
-13.189292,-12.81
-8.987917,-8.84
-11.237715,-10.96
-11.945035,-12.17
12.552023,13.37573211
-14.630247,-14.5
-13.769466,-13.48
-11.690212,-11.12
-18.495665,-18.61
-15.31375,-14.18
-13.061527,-13.37
-12.10453,-12.22
-10.840232,-11.73
6.757789,5.504124187
-6.442502,-6.23
-5.8858304,-5.930000000000001
-12.486646,-14.16
-8.399216,-8.850000000000001
-6.511687,-6.66
-11.43741,-11.09
-12.908572,-13.56
-12.762948,-13.61
-12.894876,-12.05
-10.201336,-14.53
-12.591075,-13.69
-12.045392,-8.25
-12.578034,-12.86
0.98364097,-0.436035275
-17.203812,-16.61
-11.91252,-12.34
-14.94551,-15.11
-12.963124,-13.12
-10.310394,-9.55
-8.957392,-6.840000000000001
-9.253408,-7.59
-9.729071,-9.72
-11.262912,-11.62
-15.084866,-16.52
-12.100622,-11.93
6.3141,6.977998856
-6.3900857,-4.76
-12.911661,-11.69
-7.8249297,-8.11
-11.047114,-11.21
-13.685877,-13.1
5.7562556,5.796123054000001
-9.427619,-8.18
-11.828107,-11.48
-14.072796,-13.94
-11.3246355,-9.94
-8.284124,-8.149999999999999
-6.636561,-8.01
-5.7020535,-5.95
-9.604647,-10.39
-3.8406487,-4.29
-5.8858495,-5.8100000000000005
-10.772436,-10.56
-11.990106,-12.9
-13.071333,-12.92
-10.42794,-11.5
-9.660657,-9.82
-11.398169,-10.32
-14.59096,-14.41
7.4942236,8.265097477
-15.777951,-17.07
-11.681606,-11.760000000000002
-13.005426,-13.58
-10.967535,-10.24
-9.457509,-9.49
-15.829835,-15.9
-14.706315,-14.75
-8.452166,-9.95
-12.763009,-14.24
-19.0301,-18.73
-14.934695,-14.86
-13.267014,-12.8
-10.895119,-10.91
-19.209364,-21.83
-10.6225,-10.75
-15.121952,-16.2
-10.360186,-10.18
-14.796994,-14.22
-11.557452,-11.85
-7.8044047,-6.159999999999999
-17.394724,-17.52
-10.805245,-9.17
-13.579351,-12.06
-13.790643,-14.079999999999998
-12.393957,-12.48
-5.885714,-7.66
