description,test_r2_score,test_mean_squared_error,fit_time,score_time,train_test_score
SVR,-44482.47944023333,0.0001437578136743587,0.04929075241088867,0.013910722732543946,-11544.402189546197
KNN,-0.957893788514226,6.32734970342365e-09,0.03148150444030762,0.09901180267333984,-1.3303720702924537
DT,-191.8650029860671,6.232842284926767e-07,26.780224800109863,0.012097692489624024,-2.9993072333841777
bagging,-2.991456761603204,1.2899240451609847e-08,134.87052392959595,0.026732158660888673,-0.8655983285356236
RF,-5.693410237548489,2.1631177099542412e-08,1369.4368961334228,0.03178262710571289,-2.8295105549595814
Adaboost,-2.5148438220148512,1.1358964487896441e-08,18.488282251358033,0.03435215950012207,-0.7496592788651288
GradientBoostingRegressor,-11.226196728134074,3.9511552003269586e-08,97.44627938270568,0.013319444656372071,-3.0159733819074583
