description,test_r2_score,test_mean_squared_error,fit_time,score_time,train_test_score
SVR,-53.60796493648069,2.611133361892804e-06,0.01423506736755371,0.006373310089111328,-3096.497112784452
KNN,0.4855173287698519,2.460049314284781e-08,0.010963058471679688,0.03565049171447754,0.10903707964218043
DT,-0.041465682169606666,4.979870227983568e-08,0.4146702766418457,0.006107902526855469,-6.232160901899826
bagging,0.10897601275570012,4.2605185196822326e-08,2.660175848007202,0.010071897506713867,-3.2205301008760108
RF,0.2815372913536329,3.435399854223722e-08,26.54628415107727,0.018390846252441407,-1.3169686614833782
Adaboost,0.3312827933397837,3.197536861176403e-08,1.2740438461303711,0.01667313575744629,-0.659129482035177
GradientBoostingRegressor,0.1944695609017747,3.851722740439281e-08,3.5540374755859374,0.0067821979522705075,-0.5512351719594161
