description,test_r2_score,test_mean_squared_error,fit_time,score_time,train_test_score
SVR,-53.60796493648069,2.611133361892804e-06,0.03357267379760742,0.011276769638061523,-3096.497112784452
KNN,0.4132969878728363,2.8053779522276505e-08,0.021346092224121094,0.059503698348999025,-11.284444030038806
DT,0.7266236202430377,1.3071759520194351e-08,17.509559774398802,0.010408639907836914,-0.7252985087545654
bagging,0.3652424227589941,3.0351555649000085e-08,85.28104286193847,0.01819462776184082,-1.3814613961593225
RF,0.42287697388189505,2.7595703102402295e-08,869.7930766105652,0.02606801986694336,-0.5931996644247747
Adaboost,0.2987011053700379,3.353329395367236e-08,14.566141319274902,0.02593884468078613,-0.8060172443978072
GradientBoostingRegressor,0.5981441553093061,1.9215131052109635e-08,66.00610070228576,0.01137242317199707,-0.9753281490905211
