description,test_r2_score,test_mean_squared_error,fit_time,score_time,train_test_score
SVR,-53.60796493648069,2.611133361892804e-06,0.015108299255371094,0.006866264343261719,-3096.497112784452
KNN,0.4324942836259369,2.7135842011560794e-08,0.011409473419189454,0.03773040771484375,-5.467935283234174
DT,0.3372190843460937,3.169151903944413e-08,4.494996976852417,0.006649971008300781,-1.1807222959716848
bagging,0.4107517669827744,2.8175481753574777e-08,25.67012228965759,0.010854196548461915,-2.001634894798973
RF,0.49054297250867085,2.4360187062101496e-08,256.5616059780121,0.02148013114929199,-1.9279228219814546
Adaboost,0.3386714763939418,3.162207149026161e-08,6.510150003433227,0.0172607421875,-0.620018428324974
GradientBoostingRegressor,0.4654241466736727,2.5561268337069905e-08,23.829209280014037,0.007268047332763672,-0.9021862056793083
