description,test_r2_score,test_mean_squared_error,fit_time,score_time,train_test_score
SVR,0.40058157540784434,6.60380995744255,0.018294906616210936,0.009646892547607422,0.394328748869921
KNN,0.6694026341465673,3.642200651427469,0.00499110221862793,0.009906911849975586,0.6083708251074494
DT,-0.14659108249503694,12.632026806395645,0.6255317687988281,0.003769254684448242,0.46835894219064206
bagging,0.5358913498448014,5.113098295761379,2.9902527809143065,0.005510091781616211,0.3226069874411423
RF,0.6528188845395573,3.824904295982641,29.432919836044313,0.012328481674194336,0.4741933035739015
Adaboost,0.5905044757544436,4.511423922914817,0.9301665782928467,0.007834148406982423,0.38416345256576045
GradientBoostingRegressor,0.22395795465655366,8.549677447636133,5.595734453201294,0.004094839096069336,0.5857916377882206
