description,test_r2_score,test_mean_squared_error,fit_time,score_time,train_test_score
SVR,-0.10283758213756777,5393302989484547.0,0.04705405235290527,0.02676229476928711,-0.10328597862717773
KNN,0.6282649041924924,1817928619760137.2,0.006983804702758789,0.012155675888061523,0.5469029286667763
DT,0.11015541590713418,4351684720666360.5,0.1928715705871582,0.005096578598022461,0.2346610721277508
bagging,0.5628315936572637,2137922855572731.0,1.1220864295959472,0.0071427345275878905,0.5001389383450645
RF,0.5133379003427953,2379966188550348.0,10.926793527603149,0.012797307968139649,0.4949369429487513
Adaboost,0.3013891985718985,3416477444054293.5,0.7592124462127685,0.009500646591186523,0.38523108458725497
GradientBoostingRegressor,0.4081691483323454,2894282125733893.0,3.2524678707122803,0.005433416366577149,0.5289378769482085
