description,test_r2_score,test_mean_squared_error,fit_time,score_time,train_test_score
SVR,-0.10283763884474517,5393303266804610.0,0.047681427001953124,0.030671072006225587,-0.10328608278469846
KNN,0.49762342258947545,2456816072175910.0,0.008198356628417969,0.013586902618408203,0.4981402492783003
DT,0.2337465809413457,3747276047395609.0,0.3050795078277588,0.006190729141235351,-0.315539541746812
bagging,0.5754579289328376,2076175184935684.5,1.9959213256835937,0.008503437042236328,0.4830573962063832
RF,0.5540773798792344,2180734352119774.2,19.387933778762818,0.014424276351928712,0.532197884931751
Adaboost,0.41622347898515777,2854893328787099.5,1.9418747425079346,0.011833620071411134,0.4994159550064676
GradientBoostingRegressor,0.540518142461563,2247044275615594.0,7.128020620346069,0.0066492557525634766,0.4857746056313802
